Distillery,Longitude,Latitude
Aberfeldy,3.875,56.62
Aberlour,3.22,57.46
AnCnoc,2.76,57.56
Ardbeg,6.08,55.64
Ardmore,2.67,57.32
ArranIsleOf,5.28,55.7
Auchentoshan,4.39,55.91
Auchroisk,3.11,57.55
Aultmore,3.01,57.6
Balblair,4.17,57.83
Balmenach,3.13,57.42
Balvenie,3.1,57.45
BenNevis,5.08,56.79
Benriach,3.24,57.59
Benrinnes,3.24,57.43
Benromach,3.6,57.6
Bladnoch,4.44,54.86
BlairAthol,3.74,56.72
Bowmore,6.28,55.75
Bruichladdich,6.36,55.77
Bunnahabhain,6.14,55.89
Caol Ila,6.12,55.85
Cardhu,3.33,57.46
Clynelish,3.87,58
Cragganmore,3.38,57.4
Craigellachie,3.19,57.48
Dailuaine,3.26,57.45
Dalmore,4.17,57.7
Dalwhinnie,4.23,56.93
Deanston,4.04,56.28
Dufftown,3.13,57.44
Edradour,3.72,56.71
GlenDeveronMacduff,3.23,57.46
GlenElgin,2.51,57.66
GlenGarioch,2.63,57.48
GlenGrant,3.12,57.45
GlenKeith,3.24,57.55
GlenMoray,3.3,57.43
GlenOrd,3.11,57.45
GlenScotia,2.29,57.34
GlenSpey,4.12,56.07
Glenallachie,3.24,57.54
Glendronach,2.95,57.52
Glendullan,2.95,55.94
Glenfarclas,3.33,57.36
Glenfiddich,5.12,56.86
Glengoyne,3.29,57.56
Glenkinchie,4.26,57.39
Glenlivet,4.02,57.81
Glenlossie,3.32,57.64
Glenmorangie,4.45,57.52
Glenrothes,3.22,57.51
Glenturret,5.6,55.41
Highland Park,3.19,57.51
Inchgower,2.95,57.33
Isle of Jura,3.84,56.38
Knockando,1.8,57.49
Lagavulin,2.22,56.97
Laphroaig,2.96,58.98
Linkwood,3.3,57.45
Loch Lomond,2.98,57.67
Longmorn,4.59,55.99
Macallan,4.61,55.95
Mannochmore,5.94,55.84
Miltonduff,4.39,55.8
Mortlach,3.33,57.45
Oban,2.74,57.56
OldFettercairn,4.96,55.125
OldPulteney,6.1,55.63
RoyalBrackla,6.12,55.63
RoyalLochnagar,3.24,57.61
Scapa,4.55,55.94
Speyburn,4.58,55.99
Speyside,3.2,57.04
Springbank,2.51,56.74
Strathisla,3.24,57.56
Strathmill,3.21,57.5
Talisker,3.32,57.9
Tamdhu,4.14,57.43
Tamnavulin,3.37,57.66
Teaninich,3.11,57.44
Tobermory,2.47,56.71
Tomatin,5.47,56.77
Tomintoul,2.58,56.85
Tormore,3.08,58.44
Tullibardine,6.18,55.63
Pulteney        ,3.11,58.43
Rosebank        ,3.8,56
RoyalBrackla,3.91,57.54
RoyalLochnagar,3.21,57.03
SaintMagdalene ,3.61,55.97
Scapa,2.96,58.95
Singleton       ,3.06,57.55
Speyburn        ,3.17,57.54
Speyside,4,57.07
Springbank      ,5.6,55.41
Strathisla,2.96,57.56
Strathmill,2.96,57.54
Talisker,6.35,57.29
Tamdhu,3.34,57.46
Tamnavulin,3.32,57.31
Teaninich       ,4.28,57.68
Tobermory       ,6.08,56.61
Tomatin,3.99,57.33
Tomintoul       ,3.38,57.25
Tormore,3.41,57.38
Tullibardine    ,3.78,56.25